From,To,bearing,distance
Y,L,116.63760139470912,4.020779559607505
Y,M,113.3644193698861,4685.869051727068
Y,N,88.75157184812974,3.9756950857160347
Y,O,103.42103612101857,7.420297944006429
Y,R1,150.56965901390583,1.2239991813107864
Y,R2,143.61932016191366,1.5155704426954584
Y,RYC,48.28137773971025,0.9888953232970776
Y,T,117.96743460460164,1.4315716485669894
Y,S/F,96.18009548349539,11.74059570852371
Y,U,109.65938392715299,1.6067269618753983
Y,V,102.28168012686382,2.326024058029091
Y,W,120.22882398852903,1.1360708171514484
Y,X,47.50952293402918,0.2528155229911477
Y,Y,13,0
Y,Z,47.70059757651808,0.49869319079172425
Z,A,156.82212326949912,0.7601927700357428
Z,B,96.29876209646585,2.2425646800039405
Z,D,103.03886459203721,5.903336419322119
Z,E,95.90656089523418,7.545535626955451
Z,G,89.12980629141617,10.332835946633203
Z,H,98.05832308662514,11.41613200191095
Z,I,41.82234276941881,10.084818355471148
Z,J,110.15140826141595,6.306109453597133
Z,K,91.41803605946205,3.1186815523313194
Z,L,123.54890834668959,3.869637583037093
Z,M,113.37005611048727,4685.663551695738
Z,N,93.95428432141432,3.614485975490261
Z,O,106.72837957223368,7.151300241758436
Z,R1,170.58283424946535,1.4208342787213717
Z,R2,161.1886309155733,1.6436307776882553
Z,RYC,48.87619662350505,0.49025381385410965
Z,T,138.3567444265758,1.34759027465747
Z,S/F,98.05840432070477,11.416125562653013
Z,U,127.44669012973924,1.441148043260097
Z,V,113.56865822624655,2.077151461806432
Z,W,145.97954231530696,1.0950589055221367
Z,X,227.90110210418877,0.24588052738251703
Z,Y,227.70463822820656,0.49869319079172425
Z,Z,13,0
